
number of params: 3072 

val --- avg_loss: 0.3461, acc: 1.0000  

epoch: 154 avg_loss: 0.5650, acc: 0.8245 
val --- avg_loss: 0.3439, acc: 1.0000  

epoch: 155 avg_loss: 0.5619, acc: 0.8256 
val --- avg_loss: 0.3413, acc: 1.0000  

epoch: 156 avg_loss: 0.5589, acc: 0.8274 
val --- avg_loss: 0.3389, acc: 1.0000  

epoch: 157 avg_loss: 0.5559, acc: 0.8294 
val --- avg_loss: 0.3372, acc: 1.0000  

epoch: 158 avg_loss: 0.5529, acc: 0.8311 
val --- avg_loss: 0.3353, acc: 1.0000  

epoch: 159 avg_loss: 0.5501, acc: 0.8325 
val --- avg_loss: 0.3321, acc: 1.0000  

epoch: 160 avg_loss: 0.5470, acc: 0.8337 
val --- avg_loss: 0.3302, acc: 1.0000  

epoch: 161 avg_loss: 0.5442, acc: 0.8354 
val --- avg_loss: 0.3280, acc: 1.0000  

epoch: 162 avg_loss: 0.5412, acc: 0.8362 
val --- avg_loss: 0.3259, acc: 1.0000  

epoch: 163 avg_loss: 0.5383, acc: 0.8383 
val --- avg_loss: 0.3240, acc: 1.0000  

epoch: 164 avg_loss: 0.5356, acc: 0.8385 
val --- avg_loss: 0.3213, acc: 1.0000  

epoch: 165 avg_loss: 0.5327, acc: 0.8391 
val --- avg_loss: 0.3200, acc: 1.0000  

epoch: 166 avg_loss: 0.5298, acc: 0.8397 
val --- avg_loss: 0.3177, acc: 1.0000  

epoch: 167 avg_loss: 0.5272, acc: 0.8406 
val --- avg_loss: 0.3163, acc: 1.0000  

epoch: 168 avg_loss: 0.5243, acc: 0.8423 
val --- avg_loss: 0.3132, acc: 1.0000  

epoch: 169 avg_loss: 0.5215, acc: 0.8437 
val --- avg_loss: 0.3113, acc: 1.0000  

epoch: 170 avg_loss: 0.5188, acc: 0.8460 
val --- avg_loss: 0.3098, acc: 1.0000  

epoch: 171 avg_loss: 0.5161, acc: 0.8483 
val --- avg_loss: 0.3076, acc: 1.0000  

epoch: 172 avg_loss: 0.5134, acc: 0.8494 
val --- avg_loss: 0.3051, acc: 1.0000  

epoch: 173 avg_loss: 0.5107, acc: 0.8500 
val --- avg_loss: 0.3039, acc: 1.0000  

epoch: 174 avg_loss: 0.5081, acc: 0.8506 
val --- avg_loss: 0.3021, acc: 1.0000  

epoch: 175 avg_loss: 0.5055, acc: 0.8523 
val --- avg_loss: 0.3002, acc: 1.0000  

epoch: 176 avg_loss: 0.5029, acc: 0.8529 
val --- avg_loss: 0.2987, acc: 1.0000  

epoch: 177 avg_loss: 0.5002, acc: 0.8532 
val --- avg_loss: 0.2963, acc: 1.0000  

epoch: 178 avg_loss: 0.4977, acc: 0.8543 
val --- avg_loss: 0.2944, acc: 1.0000  

epoch: 179 avg_loss: 0.4952, acc: 0.8552 
val --- avg_loss: 0.2929, acc: 1.0000  

epoch: 180 avg_loss: 0.4925, acc: 0.8560 
val --- avg_loss: 0.2906, acc: 1.0000  

epoch: 181 avg_loss: 0.4901, acc: 0.8572 
val --- avg_loss: 0.2894, acc: 1.0000  

epoch: 182 avg_loss: 0.4875, acc: 0.8578 
val --- avg_loss: 0.2871, acc: 1.0000  

epoch: 183 avg_loss: 0.4850, acc: 0.8589 
val --- avg_loss: 0.2856, acc: 1.0000  

epoch: 184 avg_loss: 0.4825, acc: 0.8606 
val --- avg_loss: 0.2842, acc: 1.0000  

epoch: 185 avg_loss: 0.4801, acc: 0.8621 
val --- avg_loss: 0.2821, acc: 1.0000  

epoch: 186 avg_loss: 0.4777, acc: 0.8632 
val --- avg_loss: 0.2812, acc: 1.0000  

epoch: 187 avg_loss: 0.4753, acc: 0.8649 
val --- avg_loss: 0.2795, acc: 1.0000  

epoch: 188 avg_loss: 0.4728, acc: 0.8666 
val --- avg_loss: 0.2775, acc: 1.0000  

epoch: 189 avg_loss: 0.4705, acc: 0.8666 
val --- avg_loss: 0.2755, acc: 1.0000  

epoch: 190 avg_loss: 0.4680, acc: 0.8681 
val --- avg_loss: 0.2741, acc: 1.0000  

epoch: 191 avg_loss: 0.4657, acc: 0.8695 
val --- avg_loss: 0.2725, acc: 1.0000  

epoch: 192 avg_loss: 0.4634, acc: 0.8701 
val --- avg_loss: 0.2710, acc: 1.0000  

epoch: 193 avg_loss: 0.4610, acc: 0.8709 
val --- avg_loss: 0.2696, acc: 1.0000  

epoch: 194 avg_loss: 0.4587, acc: 0.8721 
val --- avg_loss: 0.2672, acc: 1.0000  

epoch: 195 avg_loss: 0.4566, acc: 0.8735 
val --- avg_loss: 0.2663, acc: 1.0000  

epoch: 196 avg_loss: 0.4540, acc: 0.8753 
val --- avg_loss: 0.2645, acc: 1.0000  

epoch: 197 avg_loss: 0.4519, acc: 0.8758 
val --- avg_loss: 0.2626, acc: 1.0000  

epoch: 198 avg_loss: 0.4495, acc: 0.8770 
val --- avg_loss: 0.2610, acc: 1.0000  

epoch: 199 avg_loss: 0.4474, acc: 0.8781 
val --- avg_loss: 0.2595, acc: 1.0000  

epoch: 200 avg_loss: 0.4452, acc: 0.8784 
val --- avg_loss: 0.2580, acc: 1.0000  

epoch: 201 avg_loss: 0.4429, acc: 0.8798 
val --- avg_loss: 0.2568, acc: 1.0000  

epoch: 202 avg_loss: 0.4407, acc: 0.8807 
val --- avg_loss: 0.2555, acc: 1.0000  

epoch: 203 avg_loss: 0.4385, acc: 0.8813 
val --- avg_loss: 0.2539, acc: 1.0000  

epoch: 204 avg_loss: 0.4364, acc: 0.8818 
val --- avg_loss: 0.2521, acc: 1.0000  

epoch: 205 avg_loss: 0.4342, acc: 0.8830 
val --- avg_loss: 0.2512, acc: 1.0000  

epoch: 206 avg_loss: 0.4320, acc: 0.8844 
val --- avg_loss: 0.2495, acc: 1.0000  

